"teaching_number","title","date","year"
"97","CHANGES","Dec. 18, 1979","1979"
"98","WORK","Dec. 19, 1979","1979"
"99","SPIRITUAL","Dec. 20, 1979","1979"
"100","PRINCIPLES AND FOUNDATIONS","Dec. 22, 1979","1979"
"101","CHRISTMAS","Dec. 25, 1979","1979"
"102","ANGELS","Dec. 26, 1979","1979"
"103","PRAISE YE THE LORD!","Dec. 30, 1979","1979"
"104","OLD YEAR","Dec. 31, 1979","1979"
"105","SHARING","Jan. 06, 1980","1980"
"106","BOUND","Jan. 10, 1980","1980"
"107","EASTER","Jan. 12, 1980","1980"
"108","IN TIME OF TROUBLE","Jan. 17, 1980","1980"
"109","IN TIME OF TROUBLE, II","Jan. 18, 1980","1980"
"110","THE TIMES","Jan. 20, 1980","1980"
"111","ZEAL","Jan. 21, 1980","1980"
"112","GRACE","Jan. 27, 1980","1980"
"113","IN PRAISE OF DIVERSITY","Jan. 28, 1980","1980"
"114","REINCARNATION","Feb. 04, 1980","1980"
"115","IN SEARCH OF TRUTH","Feb. 06, 1980","1980"
"116","ANOTHER TIME","Feb. 07, 1980","1980"
"117","IT NEVER FAILS","Feb. 13, 1980","1980"
"118","AGAIN, AND AGAIN","Feb. 19, 1980","1980"
"119","SHARING","Feb. 23, 1980","1980"
"120","SHARING II","Feb. 24, 1980","1980"
"121","THE SPIRIT AND THE LORD","Mar. 10, 1980","1980"
"122","FREE WILL","Mar. 11, 1980","1980"
"123","DISCIPLINE","Mar. 12, 1980","1980"
"124","THE LORD GIVETH AND THE LORD TAKETH AWAY","Mar. 14, 1980","1980"
"125","BEING AND PRAYING","Mar. 17, 1980","1980"
"126","LIFE AND DEATH","Mar. 21, 1980","1980"
"127","IN PAIN","Mar. 23, 1980","1980"
"128","CRISIS","Mar. 28, 1980","1980"
"129","THE CRISIS CONFRONTED","Mar. 29, 1980","1980"
"130","CONFUSION","Mar. 31, 1980","1980"
"131","GOOD FRIDAY","Apr. 04, 1980","1980"
"132","GIVING","Apr. 07, 1980","1980"
"133","YOUR PROFESSION","Apr. 10, 1980","1980"
"134","IS IT REAL?","Apr. 11, 1980","1980"
"135","REVIEWING","Apr. 16, 1980","1980"
"136","IN THE MATTER OF FAITHFULNESS","Apr. 21, 1980","1980"
"137","RESPONSE","Apr. 23, 1980","1980"
"138","REFLECTIONS ON LIFE AND DEATH","Apr. 25, 1980","1980"
"139","THE UNIFYING DIMENSION","Apr. 26, 1980","1980"
"140","THAT WHICH UNIFIES","Apr. 27, 1980","1980"
"141","THE UNIFYING… CONTINUED","Apr. 27, 1980","1980"
"142","THE DIMENSION THAT UNIFIES","Apr. 28, 1980","1980"
"143","HERE, AGAIN, IN THE EARTH","May. 01, 1980","1980"
"144","CHANGE OF SCENE","May. 02, 1980","1980"
"145","THE CONTINUUM AND THE SPIRIT","May. 04, 1980","1980"
"146","CONFRONTATION AHEAD","May. 07, 1980","1980"
"147","THE CHALLENGE","May. 09, 1980","1980"
"148","OUR ANNIVERSARY","May. 11, 1980","1980"
"149","COMMITMENT","May. 12, 1980","1980"
"150","A LESSON FROM UNCARVED BLOCK…","May. 13, 1980","1980"
"151","MEET THE CHILDREN","May. 14, 1980","1980"
"152","LOVE, CERTAINLY","May. 15, 1980","1980"
"153","INSTRUCTION IN MEDITATION","May. 16, 1980","1980"
"154","SPIRITUAL THOUGHTS WHILE ALOFT","May. 16, 1980","1980"
"155","EARTH AS A SACRED BODY","May. 18, 1980","1980"
"156","REFLECTIONS ON THE EARTH","May. 19, 1980","1980"
"157","PRESENT CONVICTIONS","May. 20, 1980","1980"
"158","FOLLOWING MY WAY","May. 21, 1980","1980"
"159","THE MEDIATING SPIRIT","May. 22, 1980","1980"
"160","GOING HOME","May. 23, 1980","1980"
"161","HEALTH AND HEALING","May. 23, 1980","1980"
"162","“FILL ‘ER UP”","May. 24, 1980","1980"
"163","HERE IN THE EARTH","May. 25, 1980","1980"
"164","HERE IN THE EARTH… ANOTHER TRY","May. 26, 1980","1980"
"165","OTHER BEINGS","May. 27, 1980","1980"
"166","SHARING THE SPIRIT","May. 28, 1980","1980"
"167","SHE DRINKS","May. 29, 1980","1980"
"168","REFLECTIONS ON LIFE ON THE RUN","May. 30, 1980","1980"
"169","STORY TELLING","May. 31, 1980","1980"
"170","SABBATH","Jun. 01, 1980","1980"
"171","ALCOHOLISM","Jun. 02, 1980","1980"
"172","CONSCIOUSNESS","Jun. 03, 1980","1980"
"173","OBSERVATIONS ON RHYTHM","Jun. 04, 1980","1980"
"174","TELLING YOUR STORY","Jun. 05, 1980","1980"
"175","THE SPIRIT AND “SPIRITS”","Jun. 06, 1980","1980"
"176","REENTRY","Jun. 07, 1980","1980"
"177","ANOTHER SABBATH","Jun. 08, 1980","1980"
"178","“SPIRITS” IN SONG","Jun. 09, 1980","1980"
"179","THE CHURCH COURT","Jun. 10, 1980","1980"
"180","THE UNIFYING SPIRIT","Jun. 11, 1980","1980"
"181","THE SPIRIT AT WORK","Jun. 12, 1980","1980"
"182","GLOBAL SPIRIT","Jun. 13, 1980","1980"
"183","HOLISM… NO KA OE","Jun. 14, 1980","1980"
"184","RETURN TO THE BEACH","Jun. 15, 1980","1980"
"185","TRAVELING","Jun. 16, 1980","1980"
"186","PROBLEMS","Jun. 17, 1980","1980"
"187","GRACE AND POSITIVE HEALTH","Jun. 18, 1980","1980"
"188","HOME AGAIN","Jun. 20, 1980","1980"
"189","HEALING AND HEALTH, AGAIN","Jun. 22, 1980","1980"
"190","GRACE AND KARMA","Jun. 24, 1980","1980"
"191","OBEDIENCE AND FREE WILL","Jun. 26, 1980","1980"
"192","TIME AND TIMELESSNESS","Jun. 27, 1980","1980"
"193","FUNDAMENTALS","Jun. 30, 1980","1980"
"194","ALL IS (NOT) WELL FOR HUMANKIND","Jul. 01, 1980","1980"
"195","RUSS’ DILEMMA","Jul. 02, 1980","1980"
"196","LOVE AS ANSWER","Jul. 03, 1980","1980"
"197","SPIRIT AS FUSE","Jul. 05, 1980","1980"
"198","FELLOWSHIP","Jul. 07, 1980","1980"
"199","REAFFIRMATION","Jul. 09, 1980","1980"
"200","STRENGTHEN THY HOUSE","Jul. 11, 1980","1980"
"201","THE “UNIFIER”","Jul. 13, 1980","1980"
"202","THE WILLINGNESS TO HEAR","Jul. 16, 1980","1980"
"203","ALCOHOL AND POSITIVE HEALTH","Jul. 18, 1980","1980"
"204","ALCOHOL AND HOLISM","Jul. 19, 1980","1980"
"205","TRUST IN ME","Jul. 20, 1980","1980"
"206","CACOPHONY OF LIFE","Jul. 24, 1980","1980"
"207","BEGINNING A PROJECT","Jul. 28, 1980","1980"
"208","YOU AND ME","Jul. 29, 1980","1980"
"209","TELLING STORIES","Jul. 30, 1980","1980"
"210","PRESENT FAMILY CRISIS","Aug. 02, 1980","1980"
"211","REFLECTIONS ON TEACHINGS","Aug. 04, 1980","1980"
"212","FRIENDSHIP","Aug. 05, 1980","1980"
"213","MATTHEW’S DILEMMA","Aug. 07, 1980","1980"
"214","DREAMS","Aug. 08, 1980","1980"
"215","GRACE, AGAIN","Aug. 10, 1980","1980"
"216","RESENTMENT","Aug. 12, 1980","1980"
"217","MY MESSAGE TO YOU","Aug. 14, 1980","1980"
"218","PERSISTENCE","Aug. 16, 1980","1980"
"219","TELL THE STORY, AGAIN","Aug. 18, 1980","1980"
"220","MY MANIFESTATIONS","Aug. 19, 1980","1980"
"221","SALVATION","Aug. 22, 1980","1980"
"222","CHANGE OF SEASON","Aug. 23, 1980","1980"
"223","POTPOURRI","Aug. 31, 1980","1980"
"224","FORGIVENESS","Sep. 01, 1980","1980"
"225","JOHN PATRICK","Sep. 02, 1980","1980"
"226","THE UNIFYING DIMENSION…  AFRESH","Sep. 03, 1980","1980"
"227","KNOWLEDGE","Sep. 05, 1980","1980"
"228","ADAPTABILITY AND THE SPIRIT","Sep. 09, 1980","1980"
"229","RESPONSIBILITIES","Sep. 12, 1980","1980"
"230","FIRST THINGS","Sep. 16, 1980","1980"
"231","SPIRIT IN SONG","Sep. 17, 1980","1980"
"232","TRUST","Sep. 17, 1980","1980"
"233","SPIRIT AND SOUL","Sep. 22, 1980","1980"
"234","LITTLE THINGS","Sep. 23, 1980","1980"
"235","THE SPIRIT KNOWS","Sep. 25, 1980","1980"
"236","STORY TIME","Sep. 26, 1980","1980"
"237","GOD’S PEOPLE","Sep. 30, 1980","1980"
"238","IN SEARCH OF TRUTH","Oct. 03, 1980","1980"
"239","HOLY COMMUNION","Oct. 05, 1980","1980"
"240","KARMA","Oct. 07, 1980","1980"
"241","VALIDATION","Oct. 08, 1980","1980"
"242","REFLECTIONS ON A VISIT","Oct. 09, 1980","1980"
"243","LOVE AND THE SPIRIT","Oct. 11, 1980","1980"
"244","FOLLOW ME","Oct. 12, 1980","1980"
"245","THE STUDY","Oct. 14, 1980","1980"
"246","THE GOOD LIFE","Oct. 15, 1980","1980"
"247","THE SPIRIT SHOWS","Oct. 16, 1980","1980"
"248","PRIORITIES","Oct. 17, 1980","1980"
"249","PATIENCE","Oct. 20, 1980","1980"
"250","SHARING","Oct. 23, 1980","1980"
"251","IMPATIENCE","Oct. 26, 1980","1980"
"252","SPIRIT IN THE CHURCH","Oct. 29, 1980","1980"
"253","COCKINESS","Nov. 01, 1980","1980"
"254","HOLINESS AND RIGHTEOUSNESS","Nov. 02, 1980","1980"
"255","STEWARDSHIP","Nov. 03, 1980","1980"
"256","WHAT WOULD I HAVE YOU BE?","Nov. 04, 1980","1980"
"257","A SENSE OF HUMOR","Nov. 05, 1980","1980"
"258","CHRISTIANITY AND THE EARTH","Nov. 06, 1980","1980"
"259","DISCIPLINE","Nov. 07, 1980","1980"
"260","ENTROPY AND ME","Nov. 08, 1980","1980"
"261","SCRIPTURE","Nov. 09, 1980","1980"
"262","THE KINGDOM… IS LIKE…","Nov. 10, 1980","1980"
"263","RENDER UNTO CAESAR","Nov. 13, 1980","1980"
"264","A WIDER VIEW OF SPIRIT","Nov. 14, 1980","1980"
"265","HONESTY","Nov. 15, 1980","1980"
"266","THE PEOPLE OF GOD","Nov. 16, 1980","1980"
"267","DISCOMFORT","Nov. 19, 1980","1980"
"268","UPBRINGING","Nov. 22, 1980","1980"
"269","WELLNESS AND TODAY","Nov. 24, 1980","1980"
"270","DEATH … AND LIFE","Nov. 25, 1980","1980"
"271","MISFORTUNE… ACTUAL","Nov. 29, 1980","1980"
"272","HEAR THE WORD OF THE LORD","Dec. 04, 1980","1980"
"273","PAINS","Dec. 07, 1980","1980"
"274","AN ADVENTURE BEGUN","Dec. 12, 1980","1980"
"275","FAITH","Dec. 13, 1980","1980"
"276","MY CHURCH","Dec. 19, 1980","1980"
"277","SCRIPTURE","Dec. 20, 1980","1980"
"278","FALSE DOCTRINE","Dec. 21, 1980","1980"
"279","THE CHRISTMAS SPIRIT","Dec. 25, 1980","1980"
"280","A NEW YEAR","Jan. 03, 1981","1981"
"281","IN TIME OF STRESS","Jan. 04, 1981","1981"
"282","SEEING AND HEARING","Jan. 05, 1981","1981"
"283","COMMUNITY HEALTH","Jan. 06, 1981","1981"
"284","SURPRISE!","Jan. 07, 1981","1981"
"285","ETERNITY","Jan. 08, 1981","1981"
"286","WRITING AND SINGING","Jan. 09, 1981","1981"
"287","THE RHYTHM OF THE FUTURE","Jan. 11, 1981","1981"
"288","ANSWERING QUESTIONS","Jan. 13, 1981","1981"
"289","THRESHOLD OF A NEW RHYTHM","Jan. 18, 1981","1981"
"290","VALUES","Jan. 19, 1981","1981"
"291","TEACHING AND SPIRIT","Jan. 22, 1981","1981"
"292","REFLECTIONS ON A MONTH","Jan. 25, 1981","1981"
"293","TEACHING “IN THE SPIRIT”","Jan. 27, 1981","1981"
"294","TROUBLE IN THE FAMILY","Jan. 30, 1981","1981"
"295","MATTHEW, WHY ARE YOU OUR SON?","Jan. 31, 1981","1981"
"296","PRIORITIES","Feb. 03, 1981","1981"
"297","ADAPTATION","Feb. 06, 1981","1981"
"298","THE WHIRL OF LIFE","Feb. 08, 1981","1981"
"299","MINISTRATIONS","Feb. 10, 1981","1981"
"300","HEALTH IN COMMUNITY","Feb. 14, 1981","1981"
"301","IN THE FAMILY","Feb. 15, 1981","1981"
"302","THEOLOGY","Feb. 18, 1981","1981"
"303","MORE THEOLOGY","Feb. 21, 1981","1981"
"304","WAIT UPON THE LORD","Feb. 27, 1981","1981"
"305","REKINDLING SPIRIT","Feb. 28, 1981","1981"
"306","SPIRIT","Mar. 01, 1981","1981"
"307","ACHES AND PAINS","Mar. 08, 1981","1981"
"308","TEACHING","Mar. 13, 1981","1981"
"309","MORE ON TEACHING","Mar. 14, 1981","1981"
"310","LEG, BACK, AND SPIRIT","Mar. 15, 1981","1981"
"311","SYNTHESIS","Mar. 19, 1981","1981"
"312","YE DID NOT CHOOSE ME…","Mar. 24, 1981","1981"
"313","DOUBTS AND DIVERSITY","Mar. 28, 1981","1981"
"314","FEEL THE LORD’S PRESENCE","Apr. 03, 1981","1981"
"315","JESUS, THE WAY","Apr. 04, 1981","1981"
"316","PARENTING","Apr. 05, 1981","1981"
"317","FARM AS SPIRIT","Apr. 11, 1981","1981"
"318","KEEPING THE LAW","Apr. 12, 1981","1981"
"319","WHO’S IN CHARGE?","Apr. 14, 1981","1981"
"320","THE SPIRITUAL DIMENSION","Apr. 15, 1981","1981"
"321","ATONEMENT","Apr. 17, 1981","1981"
"322","HALLELUJAH!","Apr. 19, 1981","1981"
"323","POPULATION","Apr. 21, 1981","1981"
"324","SPRING TALK","Apr. 24, 1981","1981"
"325","TEARS FOR PETER","Apr. 26, 1981","1981"
"326","THE TREATMENT","May. 01, 1981","1981"
"327","CHRISTIAN UNITY","May. 03, 1981","1981"
"328","THE SPIRIT SPEAKS","May. 06, 1981","1981"
"329","DEATH","May. 09, 1981","1981"
"330","TWO YEARS","May. 10, 1981","1981"
"331","ANNIVERSARY, II","May. 11, 1981","1981"
"332","AFFAIRS OF THE SPIRIT IN THOSE CLOSE TO YOU","May. 17, 1981","1981"
"333","PAIN, AGAIN","May. 18, 1981","1981"
"334","A THIRD REMEMBRANCE","May. 20, 1981","1981"
"335","PRAYER","May. 21, 1981","1981"
"336","ACCOMPLISHMENTS","May. 25, 1981","1981"
"337","TRANSITION","May. 29, 1981","1981"
"338","WELCOME BACK!","Jun. 05, 1981","1981"
"339","TRUST IN THE LORD","Jun. 07, 1981","1981"
"340","TRAVELING","Jun. 10, 1981","1981"
"341","SPIRIT IN TEACHING","Jun. 14, 1981","1981"
"342","CLOSE ENCOUNTERS","Jun. 18, 1981","1981"
"343","THE SPIRIT SPEAKS","Jun. 23, 1981","1981"
"344","ALCOHOL AND THE SPIRIT","Jun. 24, 1981","1981"
"345","MEDICAL MACHINES","Jun. 26, 1981","1981"
"346","GOING HOME","Jul. 01, 1981","1981"
"347","SYMBOL OF A RELATIONSHIP","Jul. 09, 1981","1981"
"348","THE TEACHINGS CIRCULATE","Jul. 10, 1981","1981"
"349","FEELING THE SPIRIT","Jul. 11, 1981","1981"
"350","SPIRITUAL AWAKENING","Jul. 13, 1981","1981"
"351","YOUR CHILDREN","Jul. 17, 1981","1981"
"352","COMMUNICATING ABOUT SPIRIT","Jul. 18, 1981","1981"
"353","REVIEWING THE COMMISSION","Jul. 19, 1981","1981"
"354","A GROUP FORMS","Jul. 20, 1981","1981"
"355","RESEARCH IN THE SPIRIT","Jul. 22, 1981","1981"
"356","ILL-HEALTH","Jul. 23, 1981","1981"
"357","STAYING HOME","Jul. 24, 1981","1981"
"358","THE REVEALING","Jul. 25, 1981","1981"
"359","DUANE’S SERMON","Jul. 28, 1981","1981"
"360","HEARING MY VOICE","Jul. 31, 1981","1981"
"361","SCRIPTURAL AGREEMENT","Aug. 02, 1981","1981"
"362","THE CLASS AND THE READING","Aug. 03, 1981","1981"
"363","DEPRESSION","Aug. 08, 1981","1981"
"364","FATHERHOOD","Aug. 09, 1981","1981"
"365","INSTITUTIONS","Aug. 13, 1981","1981"
"366","FEELING INADEQUATE","Aug. 17, 1981","1981"
"367","IN THE MATTER OF FAITHFULNESS, II","Aug. 19, 1981","1981"
"368","GIVING","Aug. 21, 1981","1981"
"369","LEANING ON THE EVERLASTING ARMS","Aug. 24, 1981","1981"
"370","AWARENESS","Aug. 27, 1981","1981"
"371","RUMINATIONS","Aug. 30, 1981","1981"
"372","KNOWLEDGE","Aug. 31, 1981","1981"
"373","HAL’S RECIPES","Sep. 05, 1981","1981"
"374","RISK-TAKING AS SPIRITUAL BEHAVIOR","Sep. 07, 1981","1981"
"375","PREPARATION","Sep. 10, 1981","1981"
"376","CHRISTIAN MEDITATION","Sep. 12, 1981","1981"
"377","COMMITMENT","Sep. 15, 1981","1981"
"378","A CRY FOR HELP","Sep. 16, 1981","1981"
"379","WHEN TECHNOLOGY FAILS","Sep. 17, 1981","1981"
"380","JARS OF WINE","Sep. 18, 1981","1981"
"381","A CHRISTIAN SENSE OF SELF","Sep. 19, 1981","1981"
"382","EXPERIENCE WITH THE HOLY SPIRIT","Sep. 20, 1981","1981"
"383","LIFE IS CONTINUOUS","Sep. 21, 1981","1981"
"384","ORDINARY PEOPLE","Sep. 22, 1981","1981"
"385","MEDITATION","Sep. 23, 1981","1981"
"386","THE RHYTHM OF LIFE","Sep. 24, 1981","1981"
"387","HUMAN/SPIRITUAL INTERACTION","Sep. 25, 1981","1981"
"388","HUMAN/SPIRITUAL INTERACTION II","Sep. 26, 1981","1981"
"389","HUMAN/SPIRITUAL INTERACTION, YET AGAIN","Sep. 27, 1981","1981"
"390","FOOD","Oct. 02, 1981","1981"
"391","THE STORY GROWS","Oct. 09, 1981","1981"
"392","REALITY","Oct. 11, 1981","1981"
"393","IN THE MIDST OF A CITY","Oct. 13, 1981","1981"
"394","FEELING THE SPIRIT","Oct. 22, 1981","1981"
"395","YOUTH AND THE FUTURE","Oct. 24, 1981","1981"
"396","HUMAN POTENTIAL","Oct. 28, 1981","1981"
"397","FRUSTRATION","Oct. 31, 1981","1981"
"398","SCRIPTURE, YET AGAIN","Nov. 01, 1981","1981"
"399","FRIENDS AND FOES","Nov. 02, 1981","1981"
"400","FORCES","Nov. 03, 1981","1981"
"401","THE HOLY SPIRIT","Nov. 04, 1981","1981"
"402","UNKNOWN","Nov. 05, 1981","1981"
"403","SPIRITUAL ADAPTING","Nov. 06, 1981","1981"
"404","DRUNKENNESS","Nov. 08, 1981","1981"
"405","FALL SEASON","Nov. 13, 1981","1981"
"406","REFLECTIONS ON SPIRIT","Nov. 15, 1981","1981"
"407","PAINFUL GROWTH","Nov. 16, 1981","1981"
"408","SPIRIT AS HUMORIST","Nov. 20, 1981","1981"
"409","LETTER WRITING","Nov. 22, 1981","1981"
"410","DIVORCE","Nov. 24, 1981","1981"
"411","THANKSGIVING","Nov. 26, 1981","1981"
"412","WARMTH","Nov. 28, 1981","1981"
"413","SELF AND SPIRIT","Dec. 02, 1981","1981"
"414","THE RHYTHM OF LIFE","Dec. 04, 1981","1981"
"415","THE LORD GIVES… AND TAKES AWAY…","Dec. 09, 1981","1981"
"416","SIN","Dec. 10, 1981","1981"
"417","MONEY AND SPIRIT","Dec. 14, 1981","1981"
"418","SOME OBSERVATIONS ON JOHN","Dec. 14, 1981","1981"
"419","A PARABLE OF PIPES","Dec. 21, 1981","1981"
"420","LISTENING TO THE CHURCH","Dec. 29, 1981","1981"
"421","RUMINATIONS ON THE EARTH","Jan. 02, 1982","1982"
"422","A TIME TO BE BORN AND A TIME TO DIE","Jan. 04, 1982","1982"
"423","A TIME TO PLANT","Jan. 07, 1982","1982"
"424","CHAOS IN THE WORLD","Jan. 10, 1982","1982"
"425","“OUT OF PRACTICE”","Jan. 17, 1982","1982"
"426","FREEDOM AND BONDAGE","Jan. 18, 1982","1982"
"427","A TIME TO LAUGH","Jan. 21, 1982","1982"
"428","GATHERING","Jan. 23, 1982","1982"
"429","REALMS AND REALMS","Jan. 28, 1982","1982"
"430","REFLECTIONS ON LIFE","Jan. 30, 1982","1982"
"431","HAZARDS IN EARTH LIFE","Feb. 04, 1982","1982"
"432","STORIES","Feb. 07, 1982","1982"
"433","RESPONSIBILITY","Feb. 11, 1982","1982"
"434","AROUND THE TABLE","Feb. 15, 1982","1982"
"435","IN SEARCH OF TRUTH","Feb. 19, 1982","1982"
"436","“WHEN THE WORLD TURNS BADLY”","Feb. 21, 1982","1982"
"437","ANOTHER VIEW OF ETERNAL LIFE","Feb. 22, 1982","1982"
"438","A TIME TO MOURN AND A TIME TO DANCE","Mar. 01, 1982","1982"
"439","THE GOOD NEWS IS OLD","Mar. 06, 1982","1982"
"440","A TIME TO PLANT AND A TIME","Mar. 07, 1982","1982"
"441","SPIRITUAL PROGRESS","Mar. 11, 1982","1982"
"442","SUCCESS","Mar. 13, 1982","1982"
"443","SUCCESS, AGAIN","Mar. 14, 1982","1982"
"444","A TIME TO KILL AND A TIME TO HEAL","Mar. 15, 1982","1982"
"445","A RUMINATION ON THE ENVIRONMENT","Mar. 16, 1982","1982"
"446","RESEARCH","Mar. 17, 1982","1982"
"447","A TIME TO REND AND A TIME TO SEW","Mar. 18, 1982","1982"
"448","PROPHESY","Mar. 19, 1982","1982"
"449","A TIME FOR WAR AND A TIME FOR PEACE","Mar. 20, 1982","1982"
"450","WITNESSING","Mar. 21, 1982","1982"
"451","FOLLOW ME (II)","Mar. 28, 1982","1982"
"452","TEACHING","Mar. 29, 1982","1982"
"453","TEACHING ABOUT LIFE","Mar. 31, 1982","1982"
"454","SPIRITUAL HEALTH","Apr. 04, 1982","1982"
"455","SPIRIT AS A FACTOR IN HEALTH","Apr. 08, 1982","1982"
"456","CELEBRATION","Apr. 10, 1982","1982"
"457","EASTER RISE","Apr. 11, 1982","1982"
"458","ALCOHOL EDUCATION","Apr. 14, 1982","1982"
"459","SPIRIT AS A FACTOR IN DRINKING","Apr. 15, 1982","1982"
"460","FAITH","Apr. 17, 1982","1982"
"461","STORIES, II","Apr. 18, 1982","1982"
"462","PARENTING","Apr. 20, 1982","1982"
"463","WHERE IS SPIRIT?","Apr. 25, 1982","1982"
"464","OBSERVATIONS ON A WEEK","May. 01, 1982","1982"
"465","IN DEFENSE OF SUFFERING","May. 02, 1982","1982"
"466","FINANCES","May. 06, 1982","1982"
"467","THIS THAT WE DO TOGETHER","May. 08, 1982","1982"
"468","ECO/SPIRIT FARM!?","May. 09, 1982","1982"
